datetime	price	type	latitude_to	longitude_to	latitude_from	longitude_from	label_from	label_trend
01.03.2014 15:00	282.24	Hotel -86.3584329	39.9829945	-86.639913	39.825192	RANDOLPH INN AND SUITE    	DoWD
02.03.2014 19:35	282.24	Hotel -86.3584329	39.9829945	-86.639913	39.825192	RANDOLPH INN AND SUITE    	DoWD
02.03.2014 21:44	353.14	Hotel	-86.3584329	39.9829945	-86.639913	39.825192	MAISON DU PUY             	DoWD
05.03.2014 14:39	435.76	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	MAISON DU PUY             	DoWD
06.03.2014 20:44	670.41	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	WALDORF ROOSEVELT HOTL    	DoWD
07.03.2014 18:59	670.41	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	WALDORF ROOSEVELT HOTL    	DoWD
08.03.2014 15:32	299.88	WSJ Subscription Renewal	-90.0742422	29.9659198	-86.639913	39.825192	D J*WALL-ST-JOURNAL       	DoWD
08.03.2014 22:24	519.75	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	SONESTA HOTELS            	DoWD
12.03.2014 14:46	410.19	OUT-OF-STATE LODGING	-90.0742422	29.9659198	-86.639913	39.825192	ANNAPOLIS HISTORIC INNS   	DoWD
13.03.2014 12:26	410.19	OUT-OF-STATE LODGING	-90.0742422	29.9659198	-86.639913	39.825192	ANNAPOLIS HISTORIC INNS   	DoWD
14.03.2014 18:50	220.76	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	BEAU RIVAGE - ADV DEP     	DoWD
15.03.2014 12:24	241.04	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	HILTON HOTELS OMAHA       	DoWD
15.03.2014 17:09	370.11	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	MARRIOTT ALBUQUERQUE      	DoWD
16.03.2014 18:22	473.06	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	MARRIOTT ALBUQUERQUE      	DoWD
19.03.2014 10:09	473.06	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	MARRIOTT ALBUQUERQUE      	DoWD
19.03.2014 12:38	1589	Subscription	-90.0742422	29.9659198	-86.639913	39.825192	STK*BIGSTOCKPHOTO.COM     	DoWD
19.03.2014 17:58	249.1	Hotel	-90.0742422	29.9659198	-86.639913	39.825192	HYATT HOTELS COLUMBUS     	DoWD
20.03.2014 20:26	249.1	Hotel	-83.041912	39.9653547	-86.639913	39.825192	HYATT HOTELS COLUMBUS     	DoWD
22.03.2014 20:38	249.1	Hotel	-83.041912	39.9653547	-86.639913	39.825192	HYATT HOTELS COLUMBUS     	DoWD
27.03.2014 10:58	37.1	Hotel	-83.041912	39.9653547	-86.639913	39.825192	HYATT HOTELS COLUMBUS     	DoWD
27.03.2014 19:30	212	Hotel	-83.041912	39.9653547	-86.639913	39.825192	HYATT HOTELS COLUMBUS     	DoWD
02.04.2014 19:56	100	7568227599	-83.041912	39.9653547	-86.639913	39.825192	GARRISON AND ASSOCIATES   	DoWD
04.04.2014 19:22	399	Hotel	-83.041912	39.9653547	-86.639913	39.825192	CROWNE PLAZA/SIX CONTINE  	DoWD
05.04.2014 18:00	399	Hotel	-71.4966178	41.7249482	-86.639913	39.825192	CROWNE PLAZA/SIX CONTINE  	DoWD
05.04.2014 20:41	51.87	Hotel	-71.4966178	41.7249482	-86.639913	39.825192	CROWNE PLAZA/SIX CONTINE  	DoWD
10.04.2014 22:22	17.29	Hotel	-71.4966178	41.7249482	-86.639913	39.825192	CROWNE PLAZA/SIX CONTINE  	DoWD
08.05.2014 14:38	110.22	OUT-OF-STATE LODGING	-71.4966178	41.7249482	-86.639913	39.825192	MARRIOTT HOTELS-CHATTANOG 	DoWD
09.05.2014 20:33	110.22	OUT-OF-STATE LODGING	-85.3230607	35.050939	-86.639913	39.825192	MARRIOTT HOTELS-CHATTANOG 	DoWD
16.05.2014 14:43	2498	JLN6XFX36LM                                       	-85.3230607	35.050939	-86.639913	39.825192	ALIGNMENT NASHVILLE INC   	DoWD
17.05.2014 14:26	420.3	Hotel	-85.3230607	35.050939	-86.639913	39.825192	OMNI LAMANSION HOTEL      	DoWD
